漢字,タイプ,読み方,,,,,,,
立,音読,りゅう,建立,,,,,,
立,訓読,た,立つ,立場,立てる,立て札,,,
料,音読,りょう,料金,料理,材料,,,,
旅,音読,りょ,旅行,旅情,旅券,,,,
旅,訓読,たび,旅行,旅先,船旅,,,,
買,音読,ばい,買収,売買,購買,,,,
買,訓読,か,買う,買い物,,,,,
売,音読,ばい,売買,売品,商売,,,,
売,訓読,う,売る,売り出す,売れる,売れ行き,,,
妹,音読,まい,姉妹,義妹,,,,,
妹,訓読,いもうと,妹,,,,,,
勉,音読,べん,勉強,勉学,勤勉,,,,
明,音読,めい,明暗,説明,鮮明,,,,
明,音読,みょう,明日,,,,,,
明,訓読,あ,明かり,明ける,夜明け,明く,明くる日,明かす,種明かし
明,訓読,あか,明るい,明るさ,明るむ,明らむ,,,
明,訓読,あき,明らか,,,,,,
目,音読,もく,目的,目前,項目,,,,
目,音読,ぼく,面目,,,,,,
目,訓読,め,目,目立つ,結び目,,,,
目,訓読,ま,目の当たり,目深,,,,,
鳥,音読,ちょう,鳥類,野鳥,,,,,
鳥,訓読,とり,鳥,鳥居,小鳥,,,,
牛,音読,ぎゅう,牛乳,闘牛,,,,,
品,音読,ひん,品評,作品,上品,,,,
品,訓読,しな,品,品物,,,,,
起,音読,き,起立,起源,奮起,,,,
起,訓読,お,起きる,早起き,起こる,起こす,,,
強,音読,きょう,強弱,強要,勉強,,,,
強,音読,ごう,強引,強情,強盗,,,,
強,訓読,つよ,強い,強まる,強める,,,,
強,訓読,し,強いる,,,,,,
切,音読,せつ,切断,親切,切に,,,,
切,音読,さい,一切,,,,,,
切,訓読,き,切る,切れる,,,,,
青,音読,せい,青天,青銅,青年,,,,
青,音読,しょう,緑青,,,,,,
青,訓読,あお,青,青ざめる,青い,,,,
親,音読,親族,親友,肉親,,,,,
親,訓読,親,親子,父親,,,,,
親,訓読,親しい,親しむ,,,,,,
秋,音読,しゅう,秋季,秋分,晩秋,,,,
秋,訓読,あき,秋,,,,,,
去,音読,きょ,去年,去就,除去,,,,
去,音読,こ,過去,,,,,,
去,訓読,さ,去る,,,,,,
犬,音読,けん,犬歯,愛犬,野犬,,,,
犬,訓読,いぬ,犬,,,,,,
肉,音読,にく,肉類,肉薄,筋肉,,,,
色,音読,しょく,原色,特色,物色,,,,
色,音読,しき,色彩,色調,,,,,
色,訓読,いろ,色,桜色,,,,,
少,音読,しょう,少年,多少,減少,,,,
少,訓読,すく,少ない,,,,,,
少,訓読,すこ,少し,,,,,,
社,音読,しゃ,社会,会社,,,,,
社,訓読,やしろ,社,,,,,,
使,音読,し,使役,使者,駆使,,,,
使,訓読,つか,使う,使い,,,,,
始,音読,し,始終,年始,開始,,,,
始,訓読,はじ,始める,始め,始まる,始まり,,,
世,音読,せい,世紀,時世,処世,,,,
世,音読,せ,世界,世間,出世,,,,
世,訓読,よ,世,世の中,,,,,
仕,音読,し,仕事,,,,,,
仕,音読,じ,給仕,,,,,,
仕,訓読,つか,仕える,,,,,,
事,音読,じ,事物,無事,師事,,,,
事,音読,ず,好事家,,,,,,
事,訓読,こと,事,,,,,,
室,音読,しつ,室内,皇室,居室,,,,
室,訓読,むろ,室,室咲き,,,,,
試,音読,し,試験,試作,,,,,
試,訓読,こｋろ,試みる,試み,,,,,
試,訓読,ため,試す,試し,,,,,
手,音読,しゅ,手腕,挙手,選手,,,,
手,訓読,て,手,手柄,,,,,
手,訓読,た,手繰る,,,,,,
私,音読,し,私立,私腹,公私,,,,
私,訓読,わたくし,私,,,,,,
私,訓読,わたし,私,私達,,,,,
思,音読,し,思想,意思,相思,,,,
思,訓読,おも,思う,思い,思わしい,,,,
死,音読,し,死亡,死角,必死,,,,
死,訓読,し,死ぬ,,,,,,
送,音読,そう,送別,放送,運送,,,,
送,訓読,おく,送る,見送り,,,,,
台,音読,だい,台地,灯台,,,,,
台,音読,たい,台風,舞台,,,,,
堂,音読,どう,母堂,,,,,,
特,音読,とく,特殊,特産,独特,,,,
題,音読,だい,題名,問題,出題,,,,
体,音読,たい,体格,人体,主体,,,,
体,音読,てい,体裁,風体,,,,,
体,訓読,からだ,体,体つき,,,,,
田,音読,でん,田地,水田,油田,,,,
田,訓読,た,田,田植え,,,,,
通,音読,つう,通行,通読,普通,,,,
通,音読,つ,通夜,,,,,,
通,訓読,とお,通る,通り,通す,通し,,,
通,訓読,かよ,通う,通い,,,,,
同,音読,どう,同情,異同,混同,,,,
同,訓読,おな,同じ,同い年,,,,,
図,音読,ず,図画,図表,地図,,,,
図,音読,と,図書,意図,壮図,,,,
図,訓読,はか,図る,,,,,,
味,音読,み,味覚,意味,興味,,,,
味,訓読,あじ,味,味見,塩味,味わう,味わい,,
文,音読,ぶん,文学,文化,作文,,,,
文,音読,もん,文字,経文,天文学,,,,
文,訓読,ふみ,,,,,,,
問,音読,もん,問題,問答,訪問,,,,
問,訓読,と,問う,問い,,,,,
問,訓読,とん,問屋,,,,,,
屋,音読,おく,屋上,屋外,家屋,,,,
屋,訓読,や,屋根,花屋,楽屋,,,,
物,音読,ぶつ,人物,動物,,,,,
物,音読,もつ,食物,進物,禁物,,,,
物,訓読,もの,物,物語,品物,,,,
夕,音読,せき,今夕,一朝一夕,,,,,
夕,訓読,ゆう,夕方,夕日,,,,,
習,音読,しゅう,習得,習慣,練習,,,,
習,訓読,なら,習う,手習い,,,,,
夏,音読,か,夏季,初夏,盛夏,,,,
夏,音読,げ,夏至,,,,,,
夏,訓読,なつ,夏,夏服,真夏,,,,
写,音読,しゃ,写真,描写,映写,,,,
写,訓読,うつ,写す,写し,写る,,,,
心,音読,しん,心身,感心,中心,,,,
心,訓読,こころ,心,心得る,,,,,
新,音読,しん,新旧,新聞,革新,,,,
新,訓読,あたら,新しい,,,,,,
新,訓読,あら,新手,,,,,,
新,訓読,にい,新妻,新盆,,,,,
兄,音読,けい,兄事,父兄,義兄,,,,
兄,音読,きょう,兄弟,,,,,,
兄,訓読,あに,兄,,,,,,
言,音読,げん,言行,言論,宣言,,,,
言,音読,ごん,言上,伝言,無言,,,,
言,訓読,い,言う,物言い,,,,,
言,訓読,こと,言葉,,,,,,
研,音読,けん,研究,研修,,,,,
研,訓読,と,研ぐ,,,,,,
験,音読,けん,試験,経験,実験,,,,
験,音読,げん,霊験,,,,,,
洋,音読,よう,洋楽,洋風,海洋,,,,
曜,音読,よう,曜日,日曜,,,,,
野,音読,や,野外,野生,分野,,,,
野,訓読,の,野,野原,野放し,,,,
夜,音読,や,夜半,深夜,昼夜,,,,
夜,訓読,よ,月夜,,,,,,
夜,訓読,よる,夜,,,,,,
業,音読,ぎょう,業績,職業,卒業,,,,
業,音読,ごう,罪業,自業自得,,,,,
業,訓読,わざ,業,仕業,,,,,
医,音読,い,医学,医療,名医,,,,
以,音読,い,以上,以内,以後,,,,
意,音読,い,意見,意味,決意,,,,
駅,音読,えき,到着駅,駅前,,,,,
音,音読,おん,音楽,発音,騒音,,,,
音,音読,いん,福音,,,,,,
音,訓読,おと,音,物音,,,,,
音,訓読,ね,音色,,,,,,
銀,音読,ぎん,銀貨,銀行,水銀,,,,
飲,音読,いん,飲料,飲食,痛飲,,,,
飲,訓読,の,飲む,飲み水,,,,,
英,音読,えい,英雄,英断,俊英,,,,
映,音読,えい,映画,上映,反映,,,,
映,訓読,うつ,映り,映る,映す,,,,
映,訓読,は,映える,,,,,,
用,音読,よう,用意,使用,費用,,,,
用,訓読,もち,用いる,,,,,,
有,音読,ゆう,有益,所有,特有,,,,
有,音読,う,有無,有象無象,,,,,
有,訓読,あ,有る,有り金,,,,,
魚,音読,ぎょ,魚類,金魚,鮮魚,,,,
魚,訓読,うお,魚,魚市場,,,,,
魚,訓読,さかな,魚,魚屋,,,,,
元,音読,げん,元気,元素,多元,,,,
元,音読,がん,元祖,元日,元来,,,,
元,訓読,もと,元,元帳,家元,,,,
員,音読,いん,満員,店員,社員,,,,
院,音読,いん,議院,病院,,,,,
楽,音読,らく,楽園,快楽,娯楽,,,,
楽,音読,がく,楽隊,音楽,,,,,
楽,訓読,たの,楽しい,楽しむ,,,,,
運,音読,うん,運動,運命,海運,,,,
運,訓読,はこ,運ぶ,,,,,,
早,音読,そう,早期,早晩,,,,,
早,音読,さっ,早速,早急,,,,,
早,訓読,はや,早い,早口,早まる,早める,,,
者,音読,しゃ,医者,前者,第三者,,,,
者,訓読,もの,者,若者,,,,,
着,音読,ちゃく,着用,着手,土着,,,,
着,訓読,き,着る,着物,着せる,,,,
着,訓読,つ,着く,着ける,,,,,
眞,音読,しん,真偽,写真,純真,,,,
眞,訓読,ま,真南,真新しい,真っ先,,,,
知,音読,ち,知識,知人,通知,,,,
知,訓読,し,知る,物知り,,,,,
止,音読,し,止宿,静止,中止,,,,
止,訓読,と,止まる,止める,,,,,
紙,音読,し,紙面,用紙,新聞紙,,,,
紙,訓読,かみ,紙,紙くず,,,,,
質,音読,しつ,質問,質実,本質,,,,
質,音読,しち,質屋,,,,,,
質,音読,ち,言質,,,,,,
終,音読,しゅう,終了,終日,最終,,,,
終,訓読,お,終わる,終わり,終える,,,,
重,音読,じゅう,重量,重大,二重,,,,
重,音読,ちょう,慎重,貴重,,,,,
重,訓読,え,一重,,,,,,
重,訓読,おも,重い,重たい,,,,,
重,訓読,かさ,重ねる,重なる,,,,,
週,音読,しゅう,週間,週末,毎週,,,,
昼,音読,ちゅう,昼夜,昼食,白昼,,,,
昼,訓読,ひる,昼,昼寝,真昼,,,,
主,音読,しゅ,主人,主権,施主,,,,
主,訓読,ぬし,主,地主,,,,,
主,訓読,おも,主な,,,,,,
住,音読,じゅう,住所,衣食住,,,,,
住,訓読,す,住む,住まう,住まい,,,,
注,音読,ちゅう,注入,注意,発注,,,,
注,訓読,そそ,注ぐ,,,,,,
注,訓読,つ,注ぐ,,,,,,
転,音読,てん,転出,回転,運転,,,,
転,訓読,ころ,転がる,転がす,転ぶ,,,,
姉,音読,し,姉妹,,,,,,
姉,訓読,あね,姉,,,,,,
自,音読,じ,自分,自由,各自,,,,
自,音読,し,自然,,,,,,
自,訓読,みずか,自ら,,,,,,
字,音読,じ,字画,文字,活字,,,,
