漢字,タイプ,読み方,,,,,,,,
危,訓読,あや,危うい,危うく,危ぶむ,,,,,
違,音読,い,違反,違法,相違,,,,,
違,訓読,ちが,違う,違い,間違う,違える,見違える,間違える,,
偉,音読,い,偉大,偉人,偉観,,,,,
偉,訓読,えら,偉い,偉ぶる,,,,,,
未,音読,み,未来,未満,前代未聞,,,,,
位,音読,い,位置,各位,,,,,,
位,訓読,くらい,位,位取り,位する,,,,,
舞,音読,ぶ,舞踏,舞台,鼓舞,,,,,
舞,訓読,ま,舞う,舞いあげる,,,,,,
舞,訓読,まい,舞,舞扇,,,,,,
務,音読,む,事務,職務,義務,,,,,
務,訓読,つと,務める,務め,,,,,,
誤,音読,ご,誤解,正誤,錯誤,,,,,
誤,訓読,あやま,誤る,誤り,,,,,,
吸,音読,きゅう,吸収,吸入,呼吸,,,,,
吸,訓読,す,吸う,,,,,,,
昔,音読,せき,昔日,昔年,昔時,,,,,
昔,訓読,むかし,昔,昔話,,,,,,
息,音読,そく,休息,消息,子息,,,,,
息,訓読,いき,息,吐息,,,,,,
席,音読,せき,席上,座席,出席,,,,,
洗,音読,せん,洗面,洗練,洗剤,,,,,
洗,訓読,あら,洗う,,,,,,,
喜,音読,き,喜劇,悲喜,歓喜,,,,,
喜,訓読,よろこ,喜ぶ,喜び,喜ばしい,,,,,
係,音読,かい,係累,関係,,,,,,
係,訓読,かか,係る,,,,,,,
係,訓読,かかり,係,係員,,,,,,
険,音読,けん,険悪,危険,保険,,,,,
険,訓読,けわ,険しい,,,,,,,
限,音読,げん,限度,制限,期限,,,,,
限,訓読,かぎ,限る,限り,,,,,,
現,音読,げん,現象,現在,表現,,,,,
現,訓読,あらわ,現れる,現す,,,,,,
相,音読,そう,相当,相談,真相,,,,,
相,音読,しょう,首相,宰相,,,,,,
相,訓読,あい,相手,,,,,,,
箱,訓読,はこ,箱,箱庭,,,,,,
想,音読,そう,想像,感想,予想,,,,,
想,音読,そ,愛想,,,,,,,
向,音読,こう,向上,傾向,趣向,,,,,
向,訓読,む,向く,向き,向ける,顔向け,向かう,向かい,向こう,向こう側
消,音読,しょう,消滅,消極的,費消,,,,,
消,訓読,き,消える,,,,,,,
消,訓読,け,消す,消しゴム,,,,,,
笑,音読,しょう,笑覧,微笑,談笑,,,,,
笑,訓読,わら,笑う,大笑い,,,,,,
笑,訓読,え,笑み,,,,,,,
信,音読,しん,信用,信頼,通信,,,,,
形,音読,けい,形態,形成,図形,,,,,
形,音読,ぎょう,形相,人形,,,,,,
形,訓読,かた,形,形見,,,,,,
形,訓読,かたち,形,,,,,,,
幸,音読,こう,幸福,不幸,行幸,,,,,
幸,訓読,さいわ,幸い,,,,,,,
幸,訓読,さち,幸,,,,,,,
幸,訓読,しあわ,幸せ,,,,,,,
性,音読,せい,性質,理性,男性,,,,,
性,音読,しょう,性分,相性,,,,,,
宿,音読,しゅく,宿泊,宿題,合宿,,,,,
宿,訓読,やど,宿,宿屋,宿る,雨宿り,宿す,,,
続,音読,ぞく,続出,連続,,,,,,
続,訓読,つづ,続く,続き,続ける,,,,,
緒,音読,しょ,緒戦,由緒,端緒,,,,,
緒,音読,ちょ,情緒,,,,,,,
緒,訓読,お,緒,鼻緒,,,,,,
選,音読,せん,選択,選挙,当選,,,,,
選,訓読,えら,選ぶ,,,,,,,
靴,音読,か,製靴,,,,,,,
靴,訓読,くつ,靴,靴下,,,,,,
雪,音読,せつ,雪辱,降雪,積雪,,,,,
雪,訓読,ゆき,雪,雪解け,初雪,,,,,
押,音読,おう,押収,押印,押韻,,,,,
押,訓読,お,押す,押し,押さえる,,,,,
煙,音読,えん,煙突,煙霧,喫煙,,,,,
煙,訓読,けむ,煙る,煙い,煙たい,,,,,
煙,訓読,けむり,煙,,,,,,,
顔,音読,がん,童顔,,,,,,,
顔,訓読,かお,顔,,,,,,,
演,音読,えん,演技,演奏,講演,,,,,
陽,音読,よう,陽光,陰陽,太陽,,,,,
様,音読,よう,様式,様子,模様,,,,,
様,訓読,さま,様,,,,,,,
要,音読,よう,要点,要注意,重要,,,,,
要,訓読,い,要る,,,,,,,
要,訓読,かなめ,要,,,,,,,
薬,音読,やく,薬剤,火薬,,,,,,
薬,訓読,くすり,薬,,,,,,,
葉,音読,よう,葉緑素,落葉,紅葉,,,,,
葉,訓読,は,葉,枯れ葉,,,,,,
疑,音読,ぎ,疑念,疑問,容疑,,,,,
疑,訓読,うたが,疑う,疑い,疑わしい,,,,,
役,音読,やく,役所,役目,荷役,,,,,
役,音読,えき,役務,使役,兵役,,,,,
易,音読,えき,易者,貿易,不易,,,,,
易,音読,い,容易,安易,難易,,,,,
易,訓読,やさ,易しい,,,,,,,
議,音読,ぎ,議論,会議,異議,,,,,
因,音読,いん,因果,原因,要因,,,,,
因,訓読,よ,因る,,,,,,,
引,音読,いん,引力,引退,索引,,,,,
引,訓読,ひ,引く,引ける,,,,,,
迎,音読,げい,迎合,歓迎,送迎,,,,,
迎,訓読,むか,迎える,出迎え,,,,,,
泳,音読,えい,泳法,水泳,背泳,,,,,
泳,訓読,およ,泳ぐ,泳ぎ,,,,,,
優,音読,ゆう,優越,優柔,俳優,,,,,
優,訓読,やさ,優しい,,,,,,,
優,訓読,すぐ,優越,優柔,俳優,,,,,
由,音読,ゆ,由来,経由,,,,,,
由,音読,ゆう,自由,理由,事由,,,,,
由,音読,ゆい,由緒,,,,,,,
由,訓読,よし,由,,,,,,,
遊,音読,ゆう,遊戯,遊離,交遊,,,,,
遊,音読,ゆ,遊山,,,,,,,
遊,訓読,あそ,遊ぶ,遊び,,,,,,
込,訓読,こ,込む,込める,,,,,,
余,音読,よ,余剩,余地,残余,,,,,
余,訓読,あま,余る,余り,余す,,,,,
与,音読,よ,与党,授与,関与,,,,,
与,訓読,あた,与える,,,,,,,
予,音読,よ,予定,予備,猶予,,,,,
育,音読,いく,育児,教育,発育,,,,,
育,訓読,そだ,育つ,育ち,育てる,,,,,
育,訓読,はぐく,育む,,,,,,,
欲,音読,よく,欲望,食欲,,,,,,
欲,訓読,ほっ,欲する,,,,,,,
欲,訓読,ほ,欲しい,欲しがる,,,,,,
御,音読,ぎょ,御者,制御,,,,,,
御,音読,ご,御飯,御用,御殿,,,,,
御,訓読,おん,御中,,,,,,,
原,音読,げん,原因,原理,高原,,,,,
原,訓読,はら,原,野原,,,,,,
園,音読,えん,園芸,公園,楽園,,,,,
園,訓読,その,学びの園,,,,,,,
遠,音読,えん,遠近,永遠,敬遠,,,,,
遠,音読,おん,久遠,,,,,,,
遠,訓読,とお,遠い,遠出,遠ざかる,,,,,
願,音読,がん,願望,祈願,志願,,,,,
願,訓読,ねが,願う,願い,,,,,,
約,音読,やく,約束,節約,,,,,,
越,音読,えつ,超越,優越,,,,,,
越,訓読,こ,越す,年越し,越える,,,,,
伝,音読,でん,伝言,伝統,宣伝,,,,,
伝,訓読,つた,伝わる,伝える,言い伝え,伝う,,,,
雑,音読,ざつ,雑談,雑音,混雑,,,,,
雑,音読,ぞう,雑炊,雑木林,雑兵,,,,,
在,音読,ざい,在留,在宅,存在,,,,,
在,訓読,あ,在る,,,,,,,
賛,音読,さん,賛成,賛同,称賛,,,,,
責,音読,せき,責務,責任,職責,,,,,
責,訓読,せ,責める,責め,,,,,,
増,音読,ぞう,増減,増加,激増,,,,,
増,訓読,ま,増す,水増し,,,,,,
増,訓読,ふ,増える,増やす,,,,,,
宅,音読,たく,宅地,自宅,帰宅,,,,,
戦,音読,せん,戦争,苦戦,論戦,,,,,
戦,訓読,いくさ,戦,,,,,,,
戦,訓読,たたか,戦う,戦い,,,,,,
招,音読,しょう,招待,招致,招請,,,,,
招,訓読,まね,招く,招き,,,,,,
折,音読,せつ,屈折,,,,,,,
折,訓読,お,折る,折り紙,折れる,名折れ,,,,
折,訓読,おり,折,,,,,,,
争,音読,そう,争議,競争,紛争,,,,,
争,訓読,あらそ,争う,争い,,,,,,
政,音読,せい,政治,行政,家政,,,,,
政,音読,しょう,摂政,,,,,,,
政,訓読,まつりごと,政,,,,,,,
支,音読,し,支持,支障,支店,,,,,
支,訓読,ささ,支える,,,,,,,
直,音読,ちょく,直立,直接,実直,,,,,
直,音読,じき,直訴,直筆,正直,,,,,
直,訓読,ただ,直ちに,,,,,,,
直,訓読,なお,直す,手直し,直る,仲直り,,,,
値,音読,ち,価値,数値,絶対値,,,,,
値,訓読,ね,値,値段,,,,,,
値,訓読,あたい,値,値する,,,,,,
職,音読,しょく,職業,職務,就職,,,,,
指,音読,し,指示,指導,屈指,,,,,
指,訓読,ゆび,指,指先,,,,,,
指,訓読,さ,指す,指図,,,,,,
制,音読,せい,制度,制限,統制,,,,,
治,音読,じ,政治,療治,,,,,,
治,音読,ち,治安,治水,自治,,,,,
治,訓読,おさ,治める,治まる,,,,,,
治,訓読,なお,治る,治す,,,,,,
置,音読,ち,位置,放置,処置,,,,,
置,訓読,お,置く,,,,,,,
種,音読,しゅ,種類,人種,品種,,,,,
種,訓読,たね,種,菜種,,,,,,
助,音読,じょ,助力,助監督,救助,,,,,
助,訓読,たす,助ける,助け,助かる,,,,,
助,訓読,すけ,助太刀,,,,,,,
状,音読,じょう,状態,白状,免状,,,,,
追,音読,つい,追跡,追放,,,,,,
追,訓読,お,追う,,,,,,,
資,音読,し,資本,資格,物資,,,,,
祖,音読,そ,祖父,祖述,元祖,,,,,
組,音読,そ,組織,組成,改組,,,,,
組,訓読,く,組む,組み込む,,,,,,
組,訓読,くみ,組,組長,,,,,,
最,音読,さい,最大,最近,最先端,,,,,
最,訓読,もっと,最も,,,,,,,
罪,音読,ざい,罪状,犯罪,謝罪,,,,,
罪,訓読,つみ,罪,,,,,,,
昨,音読,さく,昨日,昨年,一昨日,,,,,
座,音読,ざ,座席,座談,星座,,,,,
座,訓読,すわ,座る,座り込み,,,,,,
