漢字,タイプ,読み方,,,,,,,,
働,訓読,はたら,働く,働き,,,,,,
都,音読,と,都会,都心,首都,,,,,
都,訓読,つ,都合,都度,,,,,,
都,訓読,みやこ,都,都落ち,,,,,,
渡,音読,と,渡航,渡河,譲渡,,,,,
渡,訓読,わた,渡る,渡り,渡す,渡し,,,,
段,音読,だん,階段,手段,,,,,,
断,音読,だん,断絶,断定,判断,,,,,
断,訓読,た,断つ,,,,,,,
断,訓読,ことわ,断る,断り,,,,,,
対,音読,たい,対立,絶対,反対,,,,,
対,音読,つい,対句,一対,,,,,,
耳,音読,じ,耳鼻科,中耳炎,,,,,,
耳,訓読,みみ,耳,,,,,,,
法,音読,ほう,法律,方法,,,,,,
法,音読,はっ,法度,,,,,,,
髪,音読,はつ,頭髪,整髪,,,,,,
髪,訓読,かみ,髪,,,,,,,
番,音読,ばん,番人,番組,順番,,,,,
反,音読,はん,反映,反対,違反,,,,,
反,音読,ほん,謀反,,,,,,,
反,音読,たん,反物,,,,,,,
反,訓読,そ,反る,反り,反らす,,,,,
払,音読,ふつ,払暁,,,,,,,
払,訓読,はら,払う,払い,,,,,,
返,音読,へん,返却,返事,返礼,,,,,
返,訓読,かえ,返す,仕返し,返る,,,,,
犯,音読,はん,犯罪,共犯,,,,,,
犯,訓読,おか,犯す,,,,,,,
訪,音読,ほう,訪問,来訪,,,,,,
訪,訓読,おとず,訪れる,訪れ,,,,,,
訪,訓読,たず,訪ねる,,,,,,,
放,音読,ほう,放送,放棄,追放,放電,放熱,放下,,
放,訓読,はな,放す,放つ,放れる,,,,,
非,音読,ひ,非難,非常,是非,,,,,
飛,音読,ひ,飛行,飛躍,雄飛,,,,,
飛,訓読,と,飛ぶ,飛ばす,,,,,,
費,音読,ひ,費用,消費,旅費,,,,,
費,訓読,つい,費やす,費える,費え,,,,,
否,音読,ひ,否定,適否,,,,,,
否,訓読,いな,否,否めない,,,,,,
夫,音読,ふ,夫妻,農夫,,,,,,
夫,音読,ふう,夫婦,工夫,,,,,,
夫,訓読,おっと,夫,,,,,,,
浮,音読,ふ,浮沈,浮力,浮薄,,,,,
浮,訓読,う,浮く,浮き,浮世絵,浮かれる,浮かぶ,浮かべる,,
福,音読,ふく,福祉,福徳,幸福,,,,,
付,音読,ふ,付与,交付,給付,,,,,
付,訓読,つ,付ける,付く,,,,,,
負,音読,ふ,負担,負傷,,,,,,
負,訓読,ま,負ける,負け,負かす,,,,,
負,訓読,お,負う,負い目,背負う,,,,,
婦,音読,ふ,婦人,夫婦,主婦,,,,,
富,音読,ふ,富強,富裕,,,,,,
富,音読,ふう,富貴,,,,,,,
富,訓読,と,富む,,,,,,,
富,訓読,とみ,富,,,,,,,
腹,音読,ふく,腹案,空腹,,,,,,
腹,訓読,はら,腹,,,,,,,
感,音読,かん,感心,感覚,直感,,,,,
港,音読,こう,港湾,漁港,出港,,,,,
港,訓読,みなと,港,,,,,,,
告,音読,こく,告示,告白,報告,,,,,
告,訓読,つ,告げる,,,,,,,
割,音読,かつ,割愛,分割,,,,,,
割,訓読,わ,割る,割れる,,,,,,
割,訓読,わり,割合,割に,,,,,,
割,訓読,さ,割く,,,,,,,
格,音読,かく,格式,規格,性格,,,,,
格,音読,こう,格子,,,,,,,
給,音読,きゅう,給水,配給,月給,,,,,
更,音読,こう,更新,更迭,変更,,,,,
更,訓読,さら,更に,今更,,,,,,
更,訓読,ふ,更ける,夜更け,更かす,夜更かし,,,,
共,音読,きょう,共同,共通,公共,,,,,
共,訓読,とも,共に,共食い,,,,,,
供,音読,きょう,供給,提供,自供,,,,,
供,音読,く,供物,供養,,,,,,
供,訓読,そな,供える,お供え,,,,,,
供,訓読,とも,供,,,,,,,
構,音読,こう,構造,構内,結構,,,,,
構,訓読,かま,構える,構え,構う,,,,,
掛,訓読,か,掛ける,掛かる,,,,,,
官,音読,かん,官庁,官能,教官,,,,,
