単語,ひらがな,JLPT,種類,グループ,ます形,て形,た形,ない形,条件形,受身動詞,使役動詞,命令形,可能動詞,意向形,禁止形
降りる,おりる,N5,自動詞,,,,,,,,,,,,
居る,いる,N5,自動詞,,,,,,,,,,,,
疲れる,つかれる,N5,自動詞,,,,,,,,,,,,
起きる,おきる,N5,自動詞,,,,,,,,,,,,
勤める,つとめる,N5,自動詞,,,,,,,,,,,,
寝る,ねる,N5,自動詞,,,,,,,,,,,,
晴れる,はれる,N5,自動詞,,,,,,,,,,,,
生まれる,うまれる,N5,自動詞,,,,,,,,,,,,
消える,きえる,N5,自動詞,,,,,,,,,,,,
活動,かつどう,N5,自動詞,,,,,,,,,,,,
来る,くる,N5,自動詞,,,,,,,,,,,,
外出,がいしゅつ,N5,自動詞,,,,,,,,,,,,
