漢字,タイプ,読み方,,,,,,,
食,音読,しょく,食事,食料,会食,,,,
食,音読,じき,断食,,,,,,
食,訓読,く,食う,食い物,食らう,,,,
食,訓読,た,食べる,食べ物,,,,,
時,音読,じ,時間,時候,当時,,,,
時,訓読,とき,時,時めく,,,,,
書,音読,しょ,書画,書籍,読書,,,,
書,訓読,か,書く,,,,,,
水,音読,すい,水分,水陸,海水,,,,
水,訓読,みず,水,水色,,,,,
四,音読,し,四角,四季,四十七士,,,,
四,訓読,よ,四人,四つ角,,,,,
四,訓読,よん,四分,,,,,,
四,訓読,よっ,四日,四人,四つ,,,,
天,音読,てん,天地,天然,雨天,,,,
天,訓読,あま,天の川,天下り,,,,,
土,音読,ど,土木,国土,粘土,,,,
土,音読,と,土地,,,,,,
土,訓読,つち,土,赤土,,,,,
外,音読,がい,外出,海外,除外,,,,
外,音読,げ,外科,外題,外道,,,,
外,訓読,そと,外,,,,,,
外,訓読,ほか,外,,,,,,
外,訓読,はず,外す,外れる,町外れ,,,,
万,音読,まん,万一,万年筆,巨万,,,,
万,音読,ばん,万国,万端,万全,,,,
聞,音読,ぶん,新聞,風聞,見聞,,,,
聞,音読,もん,聴聞,前代未聞,,,,,
聞,訓読,き,聞く,聞こえる,聞こえ,,,,
五,音読,ご,五穀,五色,五目飯,,,,
五,訓読,いつ,五日,五つ,,,,,
午,音読,ご,午前,正午,子午線,,,,
西,音読,せい,西暦,西部,北西,,,,
西,音読,さい,西国,,,,,,
西,訓読,にし,西,西日,,,,,
下,音読,か,下流,下降,落下,,,,
下,音読,げ,下水,下車,上下,,,,
下,訓読,した,下,下見,,,,,
下,訓読,しも,川下,,,,,,
下,訓読,もと,足下,,,,,,
下,訓読,さ,下げる,下がる,,,,,
下,訓読,くだ,下る,下り,下す,下さる,,,
下,訓読,お,下ろす,下りる,,,,,
先,音読,せん,先方,先生,率先,,,,
先,訓読,さき,先,先立つ,,,,,
小,音読,しょう,小心,大小,縮小,,,,
小,訓読,ちい,小さい,小さな,,,,,
小,訓読,こ,小型,小鳥,小切手,,,,
小,訓読,お,小川,,,,,,
校,音読,こう,校閲,将校,学校,,,,
休,音読,きゅう,休止,休憩,定休,,,,
休,訓読,やす,休む,休み,休まる,休める,気休め,,
学,音読,がく,学習,科学,大学,,,,
学,訓読,まな,学ぶ,,,,,,
一,音読,いち,一度,一座,第一,,,,
一,音読,いつ,同一,統一,,,,,
一,訓読,ひと,一息,一筋,一つ,,,,
友,音読,ゆう　,友好,友情,親友,,,,
友,訓読,とも,友,,,,,,
右,音読,う,右岸,右折,右派,,,,
右,音読,ゆう　,左右,座右,,,,,
右,訓読,みぎ,右,右手,,,,,
雨,音読,う,雨量,降雨,梅雨,,,,
雨,訓読,あめ,雨,大雨,,,,,
雨,訓読,あま,雨雲,雨戸,雨具,,,,
語,音読,ご,語学,新語,国語,,,,
語,訓読,かた,語る,語らう,,,,,
円,音読,えん,円卓,円熟,一円,,,,
円,訓読,まる,円い,,,,,,
月,音読,げつ,月曜,明月,歳月,,,,
月,音読,がつ,正月,九月,,,,,
月,訓読,つき,月,月見,,,,,
中,音読,ちゅう,中央,中毒,胸中,,,,
中,音読,じゅう,心中,連中,,,,,
中,訓読,なか,中,中庭,真ん中,,,,
子,音読,し,子孫,女子,帽子,,,,
子,音読,す,金子,扇子,様子,,,,
子,訓読,こ,子,親子,,,,,
左,音読,さ,左右,左翼,左遷,,,,
左,訓読,ひだり,左右,左利き,,,,,
